cluster_id,type,task_count,total_exec_cost,total_comm_volume,avg_affinity,max_criticality,primary_chiplet,spill_count
189,COMM_HEAVY,1,2278,0,0.0000,MEDIUM,0,0
190,COMM_HEAVY,1,3233,0,0.0000,MEDIUM,1,0
191,COMM_HEAVY,1,3586,0,0.0000,MEDIUM,2,0
192,COMM_HEAVY,1,3030,0,0.0000,MEDIUM,3,0
193,COMM_HEAVY,1,2998,0,0.0000,MEDIUM,4,0
194,COMM_HEAVY,1,2556,0,0.0000,MEDIUM,5,0
195,COMM_HEAVY,1,3771,0,0.0000,MEDIUM,6,0
196,COMM_HEAVY,1,3128,0,0.0000,MEDIUM,0,0
197,COMM_HEAVY,1,2248,0,0.0000,MEDIUM,1,0
198,COMM_HEAVY,1,2603,0,0.0000,MEDIUM,2,0
199,COMM_HEAVY,1,2675,0,0.0000,MEDIUM,3,0
200,COMM_HEAVY,1,3019,0,0.0000,MEDIUM,4,0
201,COMM_HEAVY,1,3893,0,0.0000,MEDIUM,5,0
202,COMM_HEAVY,1,2161,0,0.0000,MEDIUM,6,0
203,COMM_HEAVY,1,2649,0,0.0000,MEDIUM,0,0
204,COMM_HEAVY,1,2782,0,0.0000,MEDIUM,1,0
205,COMM_HEAVY,1,2288,0,0.0000,MEDIUM,2,0
206,COMM_HEAVY,1,3427,0,0.0000,MEDIUM,3,0
207,COMM_HEAVY,1,2709,0,0.0000,MEDIUM,4,0
208,COMM_HEAVY,1,3712,0,0.0000,MEDIUM,5,0
209,COMM_HEAVY,1,2325,0,0.0000,MEDIUM,6,0
210,COMM_HEAVY,1,3024,0,0.0000,HIGH,0,0
211,COMM_HEAVY,1,2060,0,0.0000,HIGH,1,0
212,COMM_HEAVY,4,8387,289,0.6392,HIGH,2,0
213,COMM_HEAVY,1,2505,0,0.0000,MEDIUM,3,0
214,COMM_HEAVY,1,2915,0,0.0000,MEDIUM,4,0
215,COMM_HEAVY,1,3032,0,0.0000,MEDIUM,5,0
216,COMM_HEAVY,1,3234,0,0.0000,MEDIUM,6,0
217,COMM_HEAVY,1,3255,0,0.0000,MEDIUM,0,0
218,COMM_HEAVY,1,3398,0,0.0000,MEDIUM,1,0
219,COMM_HEAVY,1,3525,0,0.0000,MEDIUM,2,0
220,COMM_HEAVY,1,3625,0,0.0000,MEDIUM,3,0
221,COMM_HEAVY,1,2939,0,0.0000,MEDIUM,4,0
222,COMM_HEAVY,1,3952,0,0.0000,MEDIUM,5,0
223,COMM_HEAVY,1,3050,0,0.0000,MEDIUM,6,0
224,COMM_HEAVY,1,2568,0,0.0000,MEDIUM,0,0
225,COMM_HEAVY,1,2831,0,0.0000,MEDIUM,1,0
226,COMM_HEAVY,1,3396,0,0.0000,MEDIUM,2,0
227,COMM_HEAVY,1,2800,0,0.0000,MEDIUM,3,0
228,COMM_HEAVY,1,3335,0,0.0000,MEDIUM,4,0
229,COMM_HEAVY,1,2378,0,0.0000,MEDIUM,5,0
230,COMM_HEAVY,1,3715,0,0.0000,MEDIUM,6,0
231,COMM_HEAVY,1,3443,0,0.0000,MEDIUM,0,0
232,COMM_HEAVY,1,3263,0,0.0000,MEDIUM,1,0
233,COMM_HEAVY,1,2217,0,0.0000,MEDIUM,2,0
234,COMM_HEAVY,1,3028,0,0.0000,MEDIUM,3,0
