task_id,name,type,criticality,exec_time,actual_duration,deadline,release_time,mem_io_penalty,data_ready_cycle,wait_cycles,slack_time,cluster_id,assigned_chiplet,assigned_core,replica_core,start_cycle,finish_cycle,state
3401,price_opt52_path8,COMPUTE_HEAVY,MEDIUM,3210,3210,100000,0,0,566,64346,-1,2517,4,0,-1,64877,68087,COMPLETED
3402,price_opt52_path9,COMPUTE_HEAVY,MEDIUM,3553,3553,100000,0,0,561,73667,-1,3150,1,2,-1,74198,77751,COMPLETED
3403,price_opt52_path10,COMPUTE_HEAVY,MEDIUM,2019,2019,100000,0,0,563,80177,-1,2430,1,2,-1,80708,82727,COMPLETED
3404,price_opt52_path11,COMPUTE_HEAVY,MEDIUM,3287,3287,100000,0,0,563,88587,-1,2388,1,2,-1,89118,92405,COMPLETED
3405,price_opt52_path12,COMPUTE_HEAVY,MEDIUM,3777,3777,100000,0,0,561,98083,-1,3135,1,0,-1,98614,102391,COMPLETED
3406,price_opt52_path13,COMPUTE_HEAVY,MEDIUM,3337,3337,100000,0,0,562,102872,-1,2301,5,0,-1,103403,106740,COMPLETED
3407,price_opt52_path14,COMPUTE_HEAVY,MEDIUM,2351,2351,100000,0,0,566,107412,-1,2251,4,2,-1,107943,110294,COMPLETED
3408,price_opt52_path15,COMPUTE_HEAVY,MEDIUM,2612,2612,100000,0,0,561,121365,-1,3125,1,2,-1,121896,124508,COMPLETED
3409,price_opt52_path16,COMPUTE_HEAVY,MEDIUM,2900,2900,100000,0,0,564,89100,-1,2151,2,0,-1,89631,92531,COMPLETED
3410,price_opt52_path17,COMPUTE_HEAVY,MEDIUM,2916,2916,100000,0,0,564,130011,-1,2105,5,0,-1,130542,133458,COMPLETED
3411,price_opt52_path18,COMPUTE_HEAVY,MEDIUM,3256,3256,100000,0,0,563,142886,-1,2059,1,2,-1,143417,146673,COMPLETED
3412,price_opt52_path19,COMPUTE_HEAVY,MEDIUM,3101,3101,100000,0,0,564,147405,-1,2007,5,2,-1,147936,151037,COMPLETED
3413,price_opt52_path20,COMPUTE_HEAVY,MEDIUM,3371,3371,100000,0,0,562,152997,-1,3108,5,3,-1,153528,156899,COMPLETED
3414,price_opt52_path21,COMPUTE_HEAVY,MEDIUM,2930,2930,100000,0,0,564,117398,-1,1911,0,1,-1,117929,120859,COMPLETED
3415,price_opt52_path22,COMPUTE_HEAVY,MEDIUM,2272,2272,100000,0,0,864,213439,-1,1868,6,3,-1,214270,216542,COMPLETED
3416,price_opt52_path23,COMPUTE_HEAVY,MEDIUM,2124,2124,100000,0,0,566,169849,-1,1828,1,0,-1,170380,172504,COMPLETED
3417,price_opt52_path24,COMPUTE_HEAVY,MEDIUM,3367,3367,100000,0,0,565,125861,-1,1778,0,3,-1,126392,129759,COMPLETED
3418,price_opt52_path25,COMPUTE_HEAVY,MEDIUM,2817,2817,100000,0,0,863,157577,-1,1736,0,0,-1,158408,161225,COMPLETED
3419,price_opt52_path26,COMPUTE_HEAVY,MEDIUM,3725,3725,100000,0,0,861,227995,-1,3084,6,3,-1,228826,232551,COMPLETED
3420,price_opt52_path27,COMPUTE_HEAVY,MEDIUM,2021,2021,100000,0,0,566,182087,-1,1644,6,0,-1,182618,184639,COMPLETED
3421,price_opt52_path28,COMPUTE_HEAVY,MEDIUM,2685,2685,100000,0,0,864,235775,-1,1599,3,2,-1,236606,239291,COMPLETED
3422,price_opt52_path29,COMPUTE_HEAVY,MEDIUM,2087,2087,100000,0,0,564,191185,-1,1555,1,2,-1,191716,193803,COMPLETED
3423,price_opt52_path30,COMPUTE_HEAVY,MEDIUM,3807,3807,100000,0,0,865,241730,-1,1508,3,0,-1,242561,246368,COMPLETED
3424,price_opt52_path31,COMPUTE_HEAVY,MEDIUM,3748,3748,100000,0,0,566,142259,-1,1463,0,0,-1,142790,146538,COMPLETED
3425,price_opt52_path32,COMPUTE_HEAVY,MEDIUM,3215,3215,100000,0,0,866,252242,-1,1420,6,2,-1,253073,256288,COMPLETED
3426,price_opt52_path33,COMPUTE_HEAVY,MEDIUM,2987,2987,100000,0,0,866,260267,-1,1375,3,1,-1,261098,264085,COMPLETED
3427,price_opt52_path34,COMPUTE_HEAVY,MEDIUM,3902,3902,100000,0,0,864,187214,-1,1325,2,2,-1,188045,191947,COMPLETED
3428,price_opt52_path35,COMPUTE_HEAVY,MEDIUM,2099,2099,100000,0,0,861,274882,-1,3045,1,1,-1,275713,277812,COMPLETED
3429,price_opt52_path36,COMPUTE_HEAVY,MEDIUM,3853,3853,100000,0,0,863,283505,-1,1235,3,1,-1,284336,288189,COMPLETED
3430,price_opt52_path37,COMPUTE_HEAVY,MEDIUM,3971,3971,100000,0,0,862,288836,-1,1189,6,1,-1,289667,293638,COMPLETED
3431,price_opt52_path38,COMPUTE_HEAVY,MEDIUM,2790,2790,100000,0,0,861,295538,-1,3034,6,1,-1,296369,299159,COMPLETED
3432,price_opt52_path39,COMPUTE_HEAVY,MEDIUM,3992,3992,100000,0,0,864,301822,-1,1091,6,3,-1,302653,306645,COMPLETED
3433,price_opt52_path40,COMPUTE_HEAVY,MEDIUM,2315,2315,100000,0,0,1165,372208,-1,1047,4,1,-1,373339,375654,COMPLETED
3434,price_opt52_path41,COMPUTE_HEAVY,MEDIUM,3628,3628,100000,0,0,865,219575,-1,1003,2,2,-1,220406,224034,COMPLETED
3435,price_opt52_path42,COMPUTE_HEAVY,MEDIUM,3268,3268,100000,0,0,1162,380996,-1,962,3,2,-1,382127,385395,COMPLETED
3436,price_opt52_path43,COMPUTE_HEAVY,MEDIUM,2788,2788,100000,0,0,1161,387043,-1,3013,5,0,-1,388174,390962,COMPLETED
3437,price_opt52_path44,COMPUTE_HEAVY,MEDIUM,3953,3953,100000,0,0,865,227936,-1,868,0,2,-1,228767,232720,COMPLETED
3438,price_opt52_path45,COMPUTE_HEAVY,MEDIUM,2807,2807,100000,0,0,864,331076,-1,824,5,1,-1,331907,334714,COMPLETED
3439,price_opt52_path46,COMPUTE_HEAVY,MEDIUM,3729,3729,100000,0,0,1165,389721,-1,778,1,2,-1,390852,394581,COMPLETED
3440,price_opt52_path47,COMPUTE_HEAVY,MEDIUM,2795,2795,100000,0,0,864,236867,-1,730,2,0,-1,237698,240493,COMPLETED
3441,price_opt52_path48,COMPUTE_HEAVY,MEDIUM,2683,2683,100000,0,0,1165,404832,-1,682,3,0,-1,405963,408646,COMPLETED
3442,price_opt52_path49,COMPUTE_HEAVY,MEDIUM,2154,2154,100000,0,0,866,241587,-1,637,0,3,-1,242418,244572,COMPLETED
3443,price_opt52_path50,COMPUTE_HEAVY,MEDIUM,2631,2631,100000,0,0,1166,404975,-1,592,4,0,-1,406106,408737,COMPLETED
3444,price_opt52_path51,COMPUTE_HEAVY,MEDIUM,2055,2055,100000,0,0,1164,298081,-1,539,0,0,-1,299212,301267,COMPLETED
3445,price_opt52_path52,COMPUTE_HEAVY,MEDIUM,3160,3160,100000,0,0,860,347418,-1,2980,1,3,-1,348249,351409,COMPLETED
3446,price_opt52_path53,COMPUTE_HEAVY,MEDIUM,2518,2518,100000,0,0,865,252937,-1,441,0,0,-1,253768,256286,COMPLETED
3447,price_opt52_path54,COMPUTE_HEAVY,MEDIUM,3755,3755,100000,0,0,865,362607,-1,396,4,3,-1,363438,367193,COMPLETED
3448,price_opt52_path55,COMPUTE_HEAVY,MEDIUM,2277,2277,100000,0,0,1461,455450,-1,2967,4,1,-1,456881,459158,COMPLETED
3449,price_opt52_path56,COMPUTE_HEAVY,MEDIUM,2002,2002,100000,0,0,1165,425627,-1,306,5,0,-1,426758,428760,COMPLETED
3450,price_opt52_path57,COMPUTE_HEAVY,MEDIUM,3629,3629,100000,0,0,1461,471137,-1,2958,5,2,-1,472568,476197,COMPLETED
3451,price_opt52_path58,COMPUTE_HEAVY,MEDIUM,3952,3952,100000,0,0,1163,432367,-1,222,5,3,-1,433498,437450,COMPLETED
3452,price_opt52_path59,COMPUTE_HEAVY,MEDIUM,3481,3481,100000,0,0,1164,439588,-1,176,1,1,-1,440719,444200,COMPLETED
3453,price_opt52_path60,COMPUTE_HEAVY,MEDIUM,3971,3971,100000,0,0,1166,449159,-1,131,5,1,-1,450290,454261,COMPLETED
3454,price_opt52_path61,COMPUTE_HEAVY,MEDIUM,2496,2496,100000,0,0,1161,455385,-1,2940,1,3,-1,456516,459012,COMPLETED
3455,price_opt52_path62,COMPUTE_HEAVY,MEDIUM,2123,2123,100000,0,0,564,207884,-1,50,1,1,-1,208415,210538,COMPLETED
3456,price_opt52_path63,COMPUTE_HEAVY,MEDIUM,3344,3344,100000,0,0,1466,477400,-1,8,1,1,-1,478831,482175,COMPLETED
3457,price_opt53_path0,COMPUTE_HEAVY,MEDIUM,3799,3799,100000,0,0,563,6071,-1,2895,4,0,-1,6602,10401,COMPLETED
3458,price_opt53_path1,COMPUTE_HEAVY,MEDIUM,3434,3434,100000,0,0,565,11437,-1,2845,3,3,-1,11968,15402,COMPLETED
3459,price_opt53_path2,COMPUTE_HEAVY,MEDIUM,2422,2422,100000,0,0,564,18770,-1,2799,6,1,-1,19301,21723,COMPLETED
3460,price_opt53_path3,COMPUTE_HEAVY,MEDIUM,3097,3097,100000,0,0,566,27630,-1,2748,4,0,-1,28161,31258,COMPLETED
3461,price_opt53_path4,COMPUTE_HEAVY,MEDIUM,3830,3830,100000,0,0,565,32760,-1,2708,6,0,-1,33291,37121,COMPLETED
3462,price_opt53_path5,COMPUTE_HEAVY,MEDIUM,3397,3397,100000,0,0,563,43224,-1,2657,4,2,-1,43755,47152,COMPLETED
3463,price_opt53_path6,COMPUTE_HEAVY,MEDIUM,2546,2546,100000,0,0,565,35792,-1,2613,2,2,-1,36323,38869,COMPLETED
3464,price_opt53_path7,COMPUTE_HEAVY,MEDIUM,2828,2828,100000,0,0,564,53991,-1,2561,6,1,-1,54522,57350,COMPLETED
3465,price_opt53_path8,COMPUTE_HEAVY,MEDIUM,2667,2667,100000,0,0,564,67995,-1,2516,3,1,-1,68526,71193,COMPLETED
3466,price_opt53_path9,COMPUTE_HEAVY,MEDIUM,2090,2090,100000,0,0,561,73907,-1,3150,1,0,-1,74438,76528,COMPLETED
3467,price_opt53_path10,COMPUTE_HEAVY,MEDIUM,3275,3275,100000,0,0,564,62634,-1,2429,0,3,-1,63165,66440,COMPLETED
3468,price_opt53_path11,COMPUTE_HEAVY,MEDIUM,2406,2406,100000,0,0,563,69066,-1,2387,0,1,-1,69597,72003,COMPLETED
3469,price_opt53_path12,COMPUTE_HEAVY,MEDIUM,2154,2154,100000,0,0,565,64491,-1,2347,2,1,-1,65022,67176,COMPLETED
3470,price_opt53_path13,COMPUTE_HEAVY,MEDIUM,3430,3430,100000,0,0,564,101748,-1,2300,4,0,-1,102279,105709,COMPLETED
3471,price_opt53_path14,COMPUTE_HEAVY,MEDIUM,2214,2214,100000,0,0,565,109325,-1,2250,3,2,-1,109856,112070,COMPLETED
3472,price_opt53_path15,COMPUTE_HEAVY,MEDIUM,2322,2322,100000,0,0,564,115744,-1,2203,5,3,-1,116275,118597,COMPLETED
3473,price_opt53_path16,COMPUTE_HEAVY,MEDIUM,2241,2241,100000,0,0,563,127348,-1,2150,1,1,-1,127879,130120,COMPLETED
3474,price_opt53_path17,COMPUTE_HEAVY,MEDIUM,2221,2221,100000,0,0,561,131456,-1,3118,5,1,-1,131987,134208,COMPLETED
3475,price_opt53_path18,COMPUTE_HEAVY,MEDIUM,2025,2025,100000,0,0,565,101879,-1,2058,0,1,-1,102410,104435,COMPLETED
3476,price_opt53_path19,COMPUTE_HEAVY,MEDIUM,2270,2270,100000,0,0,561,145465,-1,3112,4,1,-1,145996,148266,COMPLETED
3477,price_opt53_path20,COMPUTE_HEAVY,MEDIUM,2958,2958,100000,0,0,564,112410,-1,1960,0,1,-1,112941,115899,COMPLETED
3478,price_opt53_path21,COMPUTE_HEAVY,MEDIUM,2217,2217,100000,0,0,563,159564,-1,1910,6,0,-1,160095,162312,COMPLETED
3479,price_opt53_path22,COMPUTE_HEAVY,MEDIUM,3160,3160,100000,0,0,861,214956,-1,3100,1,0,-1,215787,218947,COMPLETED
3480,price_opt53_path23,COMPUTE_HEAVY,MEDIUM,2086,2086,100000,0,0,563,120996,-1,1827,0,0,-1,121527,123613,COMPLETED
3481,price_opt53_path24,COMPUTE_HEAVY,MEDIUM,3066,3066,100000,0,0,563,175034,-1,1777,6,0,-1,175565,178631,COMPLETED
