cluster_id,type,task_count,total_exec_cost,total_comm_volume,avg_affinity,max_criticality,primary_chiplet,spill_count
179,COMM_HEAVY,4,20844,1427,0.7937,MEDIUM,4,0
180,COMM_HEAVY,4,15761,1249,0.7066,MEDIUM,5,0
181,COMM_HEAVY,4,19537,1356,0.7786,MEDIUM,6,0
182,COMM_HEAVY,4,20088,1286,0.7469,MEDIUM,0,0
183,COMM_HEAVY,1,3356,0,0.0000,MEDIUM,1,0
184,COMM_HEAVY,4,24129,1334,0.7652,MEDIUM,2,0
185,COMM_HEAVY,4,18257,1419,0.7820,MEDIUM,3,0
186,COMM_HEAVY,4,25666,1280,0.8052,MEDIUM,4,0
187,COMM_HEAVY,4,21869,1209,0.7362,MEDIUM,5,0
188,COMM_HEAVY,2,10202,437,0.7505,MEDIUM,6,0
189,COMM_HEAVY,4,26629,1243,0.7969,MEDIUM,0,0
190,COMM_HEAVY,4,24942,1286,0.7208,MEDIUM,1,0
191,COMM_HEAVY,4,21644,1400,0.7795,HIGH,2,0
192,COMM_HEAVY,4,18092,1201,0.7002,HIGH,3,0
193,COMM_HEAVY,4,28741,1369,0.8545,HIGH,4,0
194,COMM_HEAVY,4,17452,1350,0.7055,HIGH,5,0
195,COMM_HEAVY,4,23610,1072,0.6037,HIGH,6,0
196,COMM_HEAVY,4,18373,1414,0.7772,HIGH,0,0
197,COMM_HEAVY,4,32122,959,0.6841,HIGH,1,0
198,COMM_HEAVY,4,20874,1265,0.7804,MEDIUM,2,0
199,COMM_HEAVY,4,17256,1371,0.7249,MEDIUM,3,0
200,COMM_HEAVY,4,26269,1219,0.7443,MEDIUM,4,0
201,COMM_HEAVY,4,28625,1236,0.8052,MEDIUM,5,0
202,COMM_HEAVY,4,24657,1212,0.7636,MEDIUM,6,0
203,COMM_HEAVY,4,22361,1256,0.6999,MEDIUM,0,0
204,COMM_HEAVY,4,30175,1065,0.6621,MEDIUM,1,0
205,COMM_HEAVY,4,30027,1075,0.6433,MEDIUM,2,0
206,COMM_HEAVY,4,23934,1122,0.7194,MEDIUM,3,0
207,COMM_HEAVY,4,17700,1263,0.7345,MEDIUM,4,0
208,COMM_HEAVY,4,29945,1228,0.7623,MEDIUM,5,0
209,COMM_HEAVY,4,16646,1452,0.8170,MEDIUM,6,0
210,COMM_HEAVY,4,17569,1381,0.7796,MEDIUM,0,0
211,COMM_HEAVY,4,24365,1271,0.7765,MEDIUM,1,0
212,COMM_HEAVY,4,24879,1209,0.6986,MEDIUM,2,0
213,COMM_HEAVY,4,22934,1191,0.7233,MEDIUM,3,0
214,COMM_HEAVY,1,7105,0,0.0000,MEDIUM,4,0
215,COMM_HEAVY,4,21127,1178,0.6653,MEDIUM,5,0
216,COMM_HEAVY,4,28920,1077,0.7147,MEDIUM,6,0
217,COMM_HEAVY,4,22895,1432,0.7911,MEDIUM,0,0
218,COMM_HEAVY,4,18738,1379,0.7735,MEDIUM,1,0
219,COMM_HEAVY,2,4661,397,0.6127,MEDIUM,2,0
